"Tumour","Tumours.ID","Crude.incidence.rate.per.100.000","n_orphan_designations","n_orphan_approvals","approval_rate","n_withdrawed","withdrawal_rate","total_publications","total_publications_od","n_trials","n_orphan_true","Research_score","Normalised_research_score","no_activity","research_group","rank","top_bottom_group","group"
"Plasmacytoma/Multiple Myeloma (and Heavy chain diseases)",129,"5,70929",174,27,"0,16",33,"0,19",98542,1314,2046,2369,"0,86","0,36",FALSE,"Well-researched",1,"Top 10","Full research"
"Acute promyelocytic leukemia (AML with t(15;17) with variants",5,"0,11975",263,19,"0,07",40,"0,15",15098,15135,2149,1132,"0,86","2,49",FALSE,"Well-researched",2,"Top 10","Full research"
"AML",4,"3,49739",254,18,"0,07",39,"0,15",104980,26179,2103,1095,"0,85","0,45",FALSE,"Well-researched",3,"Top 10","Full research"
"Precursor B/T lymphoblastic leukaemia/lymphoblastic lymphoma (and Burkitt leukemia/lymphoma)",54,"1,45509",98,20,"0,2",14,"0,14",49041,9291,949,653,"0,57","0,47",FALSE,"Well-researched",4,"Top 10","Full research"
"Follicular B lymphoma",152,"2,19244",53,19,"0,36",8,"0,15",15376,3748,416,281,"0,44","0,3",FALSE,"Well-researched",5,"Top 10","Full research"
"Diffuse B lymphoma",144,"4,31804",49,13,"0,27",11,"0,22",38953,8045,950,497,"0,41","0,2",FALSE,"Well-researched",6,"Top 10","Full research"
"Chronic myeloid leukemia",134,"1,11537",70,12,"0,17",17,"0,24",40463,20504,546,261,"0,38","0,36",FALSE,"Well-researched",7,"Top 10","Full research"
"Soft tissue sarcoma of head and neck",161,"0,26089",96,8,"0,08",16,"0,17",33450,5384,384,153,"0,35","0,69",FALSE,"Well-researched",8,"Top 10","Full research"
"Soft tissue sarcoma of limbs ",168,"1,09654",96,8,"0,08",16,"0,17",33450,5384,384,153,"0,35","0,33",FALSE,"Well-researched",9,"Top 10","Full research"
"Soft tissue sarcoma of superficial trunk ",194,"0,49873",96,8,"0,08",16,"0,17",33450,5384,384,153,"0,35","0,5",FALSE,"Well-researched",10,"Top 10","Full research"
"Soft tissue sarcoma of mediastinum ",175,"0,02968",96,8,"0,08",16,"0,17",33450,5384,384,153,"0,35","2,03",FALSE,"Well-researched",11,NA,"Full research"
"Soft tissue sarcoma of heart ",162,"0,01379",96,8,"0,08",16,"0,17",33450,5384,384,153,"0,35","2,98",FALSE,"Well-researched",12,NA,"Full research"
"Soft tissue sarcoma of breast ",53,"0,18288",96,8,"0,08",16,"0,17",33450,5384,384,153,"0,35","0,82",FALSE,"Well-researched",13,NA,"Full research"
"Soft tissue sarcoma of uterus ",195,"0,55261",96,8,"0,08",16,"0,17",33450,5384,384,153,"0,35","0,47",FALSE,"Well-researched",14,NA,"Full research"
"Soft tissue sarcoma of paratestis ",189,"0,03256",96,8,"0,08",16,"0,17",33450,5384,384,153,"0,35","1,94",FALSE,"Well-researched",15,NA,"Full research"
"Soft tissue sarcomas of other genitourinary tract (vulva, vagina, ovary, penis, prostate, testis, kidney, renal pelvis, ureter, bladder, urethra)",45,"0,20171",96,8,"0,08",16,"0,17",33450,5384,384,153,"0,35","0,78",FALSE,"Well-researched",16,NA,"Full research"
"Soft tissue sarcoma of viscera ",196,"0,38326",96,8,"0,08",16,"0,17",33450,5384,384,153,"0,35","0,57",FALSE,"Well-researched",17,NA,"Full research"
"Soft tissue sarcoma of retroperitoneum and peritoneum ",191,"0,31349",96,8,"0,08",16,"0,17",33450,5384,384,153,"0,35","0,63",FALSE,"Well-researched",18,NA,"Full research"
"Soft tissue sarcoma of pelvis ",190,"0,19725",96,8,"0,08",16,"0,17",33450,5384,384,153,"0,35","0,79",FALSE,"Well-researched",19,NA,"Full research"
"Soft tissue sarcoma of skin ",193,"0,30238",96,8,"0,08",16,"0,17",33450,5384,384,153,"0,35","0,64",FALSE,"Well-researched",20,NA,"Full research"
"Soft tissue sarcoma of paraorbit",188,"0,00747",96,8,"0,08",16,"0,17",33450,5384,384,153,"0,35","4,05",FALSE,"Well-researched",21,NA,"Full research"
"Soft tissue sarcoma of brain and other parts of the nervous system ",48,"0,17382",96,8,"0,08",16,"0,17",33450,5384,384,153,"0,35","0,84",FALSE,"Well-researched",22,NA,"Full research"
"Myelodysplastic syndrome with 5q syndrome",181,"0,00996",68,8,"0,12",19,"0,28",41,18,1423,540,"0,34","3,41",FALSE,"Well-researched",23,NA,"Full research"
"Hepatocellular carcinoma, fibrolamellar",100,"0,0247",116,8,"0,07",11,"0,09",907,69,15,7,"0,32","2,04",FALSE,"Well-researched",24,NA,"Full research"
"Other T cell lymphomas and NK cell neoplasms",126,"0,61638",77,7,"0,09",13,"0,17",1703,50,466,91,"0,3","0,38",FALSE,"Well-researched",25,NA,"Full research"
"Mantle cell lymphoma",125,"0,55842",34,9,"0,26",3,"0,09",7823,1859,609,248,"0,3","0,4",FALSE,"Well-researched",26,NA,"Full research"
"Lymph node accessory cell tumors",2,"0,01098",34,9,"0,26",3,"0,09",7823,1859,609,248,"0,3","2,86",FALSE,"Well-researched",27,NA,"Full research"
"T cutaneous lymphoma (Sezary syn, Mycosis fung)",141,"0,35275",53,10,"0,19",6,"0,11",5164,576,93,25,"0,29","0,49",FALSE,"Well-researched",28,NA,"Full research"
"Neuroblastoma and ganglioneuroblastoma",153,"0,09996",60,4,"0,07",4,"0,07",53940,17,368,70,"0,26","0,82",FALSE,"Well-researched",29,NA,"Full research"
"Gastrointestinal stromal sarcoma",154,"0,3004",24,6,"0,25",5,"0,21",15165,4913,186,78,"0,21","0,38",FALSE,"Well-researched",30,NA,"Full research"
"Cholangiocarcinoma of IBT",130,"0,97034",42,3,"0,07",7,"0,17",25552,2823,269,67,"0,2","0,2",FALSE,"Well-researched",31,NA,"Full research"
"Osteogenic sarcoma",185,"0,21257",39,3,"0,08",1,"0,03",48231,3284,158,22,"0,2","0,43",FALSE,"Well-researched",32,NA,"Full research"
"Kaposi's sarcoma",167,"0,2485",13,5,"0,38",3,"0,23",18392,717,87,16,"0,17","0,34",FALSE,"Well-researched",33,NA,"Full research"
"Malignant melanoma of uvea",169,"0,70358",17,3,"0,18",1,"0,06",9292,430,122,19,"0,15","0,18",FALSE,"Well-researched",34,NA,"Full research"
"Neuroendocrine carcinoma of skin",110,"0,19303",12,4,"0,33",1,"0,08",784,27,103,32,"0,14","0,32",FALSE,"Well-researched",35,NA,"Full research"
"Hodgkin lymphoma, classical",136,"2,46322",20,3,"0,15",8,"0,4",4578,822,82,58,"0,14","0,09",FALSE,"Well-researched",36,NA,"Full research"
"Primary peritoneal serous/papillary carcinoma",113,"0,08171",4,2,"0,5",0,"0",5426,160,208,46,"0,13","0,45",FALSE,"Well-researched",37,NA,"Full research"
"Carcinoma of thyroid gland",103,"5,06968",5,2,"0,4",0,"0",17211,71,86,6,"0,13","0,06",FALSE,"Well-researched",38,NA,"Full research"
"Squamous cell carcinoma with variants of oesophagus",76,"3,35747",0,0,"0",0,"0",30341,0,323,0,"0,12","0,07",FALSE,"Well-researched",39,NA,"Published literature and clinical trials"
"Adenocarcinoma with variants of oesophagus",24,"3,26433",7,2,"0,29",2,"0,29",3181,174,214,42,"0,12","0,07",FALSE,"Well-researched",40,NA,"Full research"
"Chronic Myelomonocytic leukemia",135,"0,28993",6,1,"0,17",2,"0,33",3661,126,275,31,"0,12","0,22",FALSE,"Well-researched",41,NA,"Full research"
"Mesothelioma of pleura and pericardium",176,"1,8305",2,1,"0,5",0,"0",13797,752,113,14,"0,11","0,08",FALSE,"Well-researched",42,NA,"Full research"
"Retinoblastoma",192,"0,0549",9,0,"0",0,"0",26165,832,60,18,"0,11","0,47",FALSE,"Well-researched",43,NA,"All except marketing authorisations"
"Squamous cell carcinoma with variants of larynx",73,"4,60944",0,0,"0",0,"0",60102,0,61,0,"0,1","0,05",FALSE,"Well-researched",44,NA,"Published literature and clinical trials"
"Adenocarcinoma with variants of fallopian tube",18,"0,17127",3,2,"0,67",0,"0",1984,16,34,20,"0,1","0,24",FALSE,"Well-researched",45,NA,"Full research"
"Mesothelioma of peritoneum and tunica vaginalis",177,"0,13182",25,0,"0",5,"0,2",2742,200,21,3,"0,1","0,28",FALSE,"Well-researched",46,NA,"All except marketing authorisations"
"Astrocytic tumours of CNS",41,"4,98657",2,0,"0",0,"0",59662,0,44,0,"0,1","0,04",FALSE,"Well-researched",47,NA,"All except marketing authorisations"
"Malignant meningiomas",170,"0,16367",2,0,"0",0,"0",33206,0,48,0,"0,1","0,25",FALSE,"Well-researched",48,NA,"All except marketing authorisations"
"Other myeloproliferative neoplasms",182,"2,16741",1,0,"0",1,"1",57029,30,110,3,"0,1","0,07",FALSE,"Well-researched",49,NA,"All except marketing authorisations"
"Squamous cell carcinoma with variants of oral cavity",59,"3,50645",1,0,"0",0,"0",9285,0,138,0,"0,09","0,05",FALSE,"Well-researched",50,NA,"All except marketing authorisations"
"Large cell carcinoma of lung",72,"3,81177",0,0,"0",0,"0",16379,0,30,0,"0,09","0,05",FALSE,"Well-researched",51,NA,"Published literature and clinical trials"
"Malignant thymoma",174,"0,14478",1,0,"0",0,"0",13950,6,28,0,"0,09","0,24",FALSE,"Well-researched",52,NA,"All except marketing authorisations"
"Adenocarcinoma with variants of ovary",25,"5,95333",1,1,"1",0,"0",7776,0,11,0,"0,09","0,04",FALSE,"Well-researched",53,NA,"Full research"
"Squamous cell carcinoma with variants of prostate",82,"0,01858",0,0,"0",0,"0",2287,0,195,0,"0,09","0,66",FALSE,"Well-researched",54,NA,"Published literature and clinical trials"
"Nephroblastoma",183,"0,12543",0,0,"0",0,"0",15833,0,48,0,"0,09","0,25",FALSE,"Well-researched",55,NA,"Published literature and clinical trials"
"Chondrogenic sarcomas",131,"0,26217",5,0,"0",1,"0,2",11870,22,24,0,"0,09","0,18",FALSE,"Well-researched",56,NA,"All except marketing authorisations"
"Ewing’s sarcoma",148,"0,12403",18,0,"0",3,"0,17",574,2,141,4,"0,09","0,26",FALSE,"Well-researched",57,NA,"All except marketing authorisations"
"Other high grade sarcomas (fibrosarcoma, malignant fibrous histiocytoma)",151,"0,01941",0,0,"0",0,"0",27394,0,46,0,"0,09","0,65",FALSE,"Well-researched",58,NA,"Published literature and clinical trials"
"Well differentiated not functioning endocrine carcinoma of pancreas and digestive tract",94,"1,01189",4,1,"0,25",1,"0,25",2348,9,2,0,"0,09","0,09",FALSE,"Well-researched",59,NA,"Full research"
"Pheochromocytoma, malignant",172,"0,04149",1,0,"0",1,"1",19024,0,7,0,"0,09","0,44",FALSE,"Well-researched",60,NA,"All except marketing authorisations"
"Paraganglioma",187,"0,02215",0,0,"0",0,"0",19024,0,36,0,"0,09","0,6",FALSE,"Well-researched",61,NA,"Published literature and clinical trials"
"Carcinoma of pituitary gland",102,"0,03715",0,0,"0",0,"0",43128,0,2,0,"0,09","0,47",FALSE,"Well-researched",62,NA,"Published literature and clinical trials"
"Squamous cell carcinoma with variants of oropharynx",77,"3,11585",0,0,"0",0,"0",4251,0,76,0,"0,08","0,05",FALSE,"Moderately-researched",63,NA,"Published literature and clinical trials"
"Adenocarcinoma with variants of small intestine",21,"0,58848",0,0,"0",0,"0",5810,0,15,0,"0,08","0,1",FALSE,"Moderately-researched",64,NA,"Published literature and clinical trials"
"Serous (papillary) carcinoma",114,"0,07832",0,0,"0",0,"0",10695,0,6,0,"0,08","0,29",FALSE,"Moderately-researched",65,NA,"Published literature and clinical trials"
"Choriocarcinoma of placenta",133,"0,02247",0,0,"0",0,"0",7044,0,0,0,"0,08","0,53",FALSE,"Moderately-researched",66,NA,"Only published literature"
"Seminomatous testicular cancer",57,"1,82028",1,1,"1",0,"0",1237,39,59,15,"0,08","0,06",FALSE,"Moderately-researched",67,NA,"Full research"
"Adenocarcinoma with variants of bladder",11,"0,29702",0,0,"0",0,"0",8377,0,9,0,"0,08","0,15",FALSE,"Moderately-researched",68,NA,"Published literature and clinical trials"
"Heptatoblastoma",163,"0,02279",3,0,"0",0,"0",5049,137,29,4,"0,08","0,53",FALSE,"Moderately-researched",69,NA,"All except marketing authorisations"
"Notochordal sarcomas, chordoma",132,"0,07309",0,0,"0",0,"0",6066,0,0,0,"0,08","0,3",FALSE,"Moderately-researched",70,NA,"Only published literature"
